班级,星期,节次,课程,教室,教师,周次
土木3242,周五,3-4节,土力学,2-207（智慧教室）,罗刚,1-8
土木3242,周五,3-4节,基础工程(路桥),实514,赵涛,15
土木3242,周五,5-6节,工程测量与无人机应用,2-106,陈小杰,7-12
土木3242,周五,7-8节,工程测量与无人机应用,实111,陈小杰,李琳,7-9
土木3242,周五,7-8节,工程测量与无人机应用,实111,陈小杰,10-12
造价3241,周一,1-2节,工程经济学Ⅱ,2-309,杜晓莉,1-10
造价3241,周一,1-8节,工程项目管理沙盘实验,实544,李立群,18
造价3241,周一,3-4节,大学英语 Ⅳ (一）,1-208,曹芬芬,1-8
造价3241,周一,3-4节,房屋建筑学Ⅱ,2-203（智慧教室）,王玉川,11-16
造价3241,周一,5-6节,平法识图与钢筋算量Ⅰ,2-208（智慧教室）,周薇,1-8
造价3241,周一,5-6节,平法识图与钢筋算量Ⅰ,2-208（智慧教室）,王晓毅,9-10
造价3241,周一,5-8节,平法识图与钢筋算量Ⅰ,实524,王晓毅,11
造价3241,周二,1-8节,工程项目管理沙盘实验,实544,李立群,18
造价3241,周二,3-4节,工程项目管理Ⅰ,2-203（智慧教室）,李立群,1-10
造价3241,周二,5-6节,建设法规,2-108,向慧,1-6
造价3241,周二,5-6节,工程合同管理,2-108,李纪蓉,7-16
造价3241,周三,3-4节,工程经济学Ⅱ,2-309,杜晓莉,1-11
造价3241,周三,5-8节,平法识图与钢筋算量Ⅰ,机房232,周薇,11
造价3241,周四,1-2节,建设法规,2-402,向慧,1-6
造价3241,周四,3-4节,房屋建筑学Ⅱ,2-203（智慧教室）,王玉川,11-16
造价3241,周四,5-6节,平法识图与钢筋算量Ⅰ,2-208（智慧教室）,周薇,1-8
造价3241,周四,5-6节,平法识图与钢筋算量Ⅰ,2-208（智慧教室）,王晓毅,9-10
造价3241,周四,7-8节,工程合同管理,2-108,李纪蓉,7-16
造价3241,周五,3-4节,工程项目管理Ⅰ,1-207,李立群,1-10
造价3241,周五,5-6节,工程经济学Ⅱ,2-309,杜晓莉,1-11
造价3242,周一,1-2节,工程经济学Ⅱ,2-309,杜晓莉,1-10
造价3242,周一,3-4节,大学英语 Ⅳ (一）,1-208,曹芬芬,1-8
造价3242,周一,3-4节,房屋建筑学Ⅱ,2-203（智慧教室）,王玉川,11-16
造价3242,周一,5-6节,平法识图与钢筋算量Ⅰ,2-208（智慧教室）,周薇,1-8
造价3242,周一,5-6节,平法识图与钢筋算量Ⅰ,2-208（智慧教室）,王晓毅,9-10
造价3242,周二,3-4节,工程项目管理Ⅰ,2-203（智慧教室）,李立群,1-10
造价3242,周二,5-6节,建设法规,2-108,向慧,1-6
造价3242,周二,5-6节,工程合同管理,2-108,李纪蓉,7-16
造价3242,周三,1-8节,工程项目管理沙盘实验,实544,李立群,18
造价3242,周三,3-4节,工程经济学Ⅱ,2-309,杜晓莉,1-11
造价3242,周三,5-8节,平法识图与钢筋算量Ⅰ,机房232,周薇,11
造价3242,周四,1-2节,建设法规,2-402,向慧,1-6
造价3242,周四,1-8节,工程项目管理沙盘实验,实544,李立群,18
造价3242,周四,3-4节,房屋建筑学Ⅱ,2-203（智慧教室）,王玉川,11-16
造价3242,周四,5-6节,平法识图与钢筋算量Ⅰ,2-208（智慧教室）,周薇,1-8
造价3242,周四,5-6节,平法识图与钢筋算量Ⅰ,2-208（智慧教室）,王晓毅,9-10
造价3242,周四,7-8节,工程合同管理,2-108,李纪蓉,7-16
造价3242,周五,1-4节,平法识图与钢筋算量Ⅰ,实524,王晓毅,11
造价3242,周五,3-4节,工程项目管理Ⅰ,1-207,李立群,1-10
造价3242,周五,5-6节,工程经济学Ⅱ,2-309,杜晓莉,1-11
